category,rate,weight
            Eggs,-25.549599600685795,8.298093961128441e-4
"          Calculators, typewriters, and other information processing equipment",-11.985495612699651,1.900185000896664e-5
      Telephone and related communication equipment,-11.985376827896516,0.0017764639090289914
        Household linens,-5.853053590306587,0.003460009236107046
          Motor vehicle rental,-5.337760084595516,0.001477080237983072
            Intercity buses,-5.195964737636103,5.788827655543383e-5
        Water transportation (65),-5.19547166712853,3.588515634945192e-4
            Other road transportation service,-5.194818525209399,0.002206026513388174
          Railway transportation,-5.194765204003076,7.10827151924669e-5
"        Clocks, lamps, lighting fixtures, and other household decorative items",-4.504207061460107,0.0032205115911285056
        Major household appliances,-4.318241758241754,0.0038180709916549823
"        Moving, storage, and freight services",-3.588166150182431,0.0011292859857407144
          Prescription drugs,-3.0610191199341443,0.028331433148332436
            Processed dairy products,-2.7470434225777893,0.003523565546161487
        Therapeutic medical equipment,-2.7113860463465045,0.002503412434922148
        Other medical products,-2.710522578812828,4.4935426231473196e-4
        Children's and infants' clothing (12),-2.076939481321446,0.001378121948205324
          Spectator sports,-2.0749445311857926,0.002911975439760419
          Nonprescription drugs,-1.9716876718197796,0.006169375707923446
      Food produced and consumed on farms (6),-1.889989401928588,4.3485896353038574e-5
        Used light trucks,-1.8597061168012914,0.008561982733869102
        Carpets and other floor coverings,-1.739839944615241,0.001399446762763064
        Used autos,-1.7201860716781852,0.002131366432790596
          Fats and oils,-1.5363729919495484,0.0015216346980285464
          Audio equipment,-1.495951934075947,0.0014941772570620446
      Recreational books (part of 90),-1.170269260271823,0.0016543224330544846
          Motor vehicle leasing,-1.1061307649564753,0.002983615666444591
        Membership clubs and participant sports centers,-1.0169383545825923,0.004110160554017753
        Wine,-0.8487496513897952,0.003512786990655178
      Communication,-0.8306970776275904,0.015118039120581373
        Photographic equipment,-0.7114056634379153,2.679307310555272e-4
            Poultry,-0.6071048272598176,0.003780903558874607
        Other fuels,-0.4498401583193754,2.869325810644939e-4
          Televisions,-0.08431500084316212,0.001752119240557846
        Motorcycles,0,0.0010854284150598721
        Outdoor equipment and supplies,0.03380237402721775,5.060345973048036e-4
        Spirits,0.2170983003012168,0.0026649513896438524
        Net motor vehicle and other transportation insurance (116),0.4187222451625985,0.005158375077006274
        Furniture,0.5076564580559335,0.008037689635210938
        Stationery and miscellaneous printed materials,0.5390441826322672,0.0015959695635892961
        New light trucks,0.5658491454438916,0.016439759489542478
            Pork,0.5900788595455992,0.0023588775806974655
        Tires,0.6825537383726754,0.0027260453572765936
        Household paper products,0.7806296086216662,0.003048240540191468
        Package tours,0.9747061030515027,0.0011834575190181108
"        Amusement parks, campgrounds, and related recreational services",0.9749575850449048,0.004417302926656576
        Religious organizations' services to households,1.0148542496556416,4.200849090001868e-4
      Luggage and similar personal items (part of 119),1.0980268736831817,0.0025507079931351754
          New domestic autos,1.1457226354941668,0.00141589335176838
          New foreign autos,1.1462102851830878,8.122942434150924e-4
        Physician services (44),1.1896156283187338,0.04094694256052019
      Educational books (96),1.1967654986523115,4.4150264213987776e-4
        Small electric household appliances,1.1991125510635356,5.924488785191751e-4
          Other depository institutions and regulated investment companies,1.496527802207865,0.014127527036984383
        Commercial and vocational schools (99),1.5353670212298738,0.004315742916584202
              Elementary and secondary school lunches,1.5668423574508807,4.46380867692302e-4
        Pets and related products,1.706631926067658,0.005646662225158449
          Pension funds,1.7529340956966735,0.00412567795720356
        Corrective eyeglasses and contact lenses,1.7971190558833712,0.002362919539012331
        Professional association dues,1.8744022041713464,6.448084994485282e-4
        Legal services,1.8759543891195989,0.007578207247463555
          Nonprofit private higher education services to households,2.1305258099945092,0.0041326468508498795
          Proprietary and public higher education,2.1313472791858885,0.005630958984808741
"          Food products, not elsewhere classified",2.1573208722741413,0.012132611541788739
          Processed fruits and vegetables,2.18996210982138,0.002316506707327838
"          Live entertainment, excluding sports",2.344158154959757,0.0027575912158489366
        Museums and libraries,2.346827465002093,9.265376399237696e-4
          Motion picture theaters,2.347080156572943,5.286138127188814e-4
            Bakery products,2.353191364542994,0.006181594501449995
            Other meats,2.6925218897930137,0.002345868979224334
        Miscellaneous household products,2.7514450867052176,0.0010734883772791767
        Beer,2.7547191038323433,0.005068290511804841
          Tax preparation and other related services,2.7819424767197205,0.0024729815993332163
"      Sporting equipment, supplies, guns, and ammunition (part of 80)",2.854621791701817,0.006393727624043984
          Tenant-occupied stationary homes and landlord durables,2.8604127076077503,0.03677545574241482
        Group housing (23),2.86095841046874,1.6409421572535497e-4
          Tenant-occupied mobile homes,2.8612404360389263,7.047409848068827e-4
        Foundations and grantmaking and giving services to households,2.953330092367537,4.878690145333954e-4
        Funeral and burial services,2.9556254170921363,0.0015803592418215386
        Cosmetic / perfumes / bath / nail preparations and implements,2.978168592967293,0.0037399729235252197
        Labor organization dues,3.0077579002639965,8.796602153295218e-4
        Housing at schools,3.0268859642057464,0.0022686536376231056
"          Mineral waters, soft drinks, and vegetable juices",3.06935705503723,0.005671239190084472
"        Tools, hardware, and supplies",3.1016199839238254,0.0025691523316524363
        Household cleaning products,3.1712060737188352,0.0020173088734458207
          Parking fees and tolls,3.1800642325629127,0.0014546868597328962
          Owner-occupied stationary homes,3.245488032085106,0.11731635339166761
        Rental value of farm dwellings (22),3.2461088651939036,0.0014575673357733754
          Owner-occupied mobile homes,3.2461991381394597,0.004556169747382251
        Casino gambling,3.3549437672160565,0.007688362226366391
        Lotteries,3.3549692962097737,0.003414014538041332
        Pari-mutuel net receipts,3.3551480100448856,3.006380719022571e-4
            Other purchased meals,3.365281329480169,0.05152804608018316
          Nonprofit hospitals' services to households,3.3872848994199956,0.055093099773185744
          Government hospitals,3.387393145322349,0.016162490441000883
          Proprietary hospitals,3.3879213931937926,0.009438019124502537
        Electric appliances for personal care,3.4110784732159942,6.146564196054491e-4
"        Hair, dental, shaving, and miscellaneous personal care products except electrical products",3.411943895825658,0.006072182871202766
          Food supplied to military,3.4282464185418178,1.1521904161916204e-4
              Higher education school lunches,3.4282707921566384,9.793618537628774e-4
          Food supplied to civilians,3.428319540426017,0.0017296794030166947
          Employment agency services,3.47284593736903,7.763347522000798e-5
          Elementary and secondary schools,3.497124619877752,0.002206398187715978
        Hotels and motels,3.55080988145869,0.007379640237834402
          Natural gas (28),3.5636581389933326,0.003926088843172947
          Alcohol in purchased meals,3.5648647181531317,0.00837939772033551
        Social assistance,3.592844508994702,0.011833599545070623
        Women's and girls' clothing (10),3.617008284312732,0.012609005111451193
        Nursing homes (52),3.621354543263422,0.013453588562094236
        Shoes and other footwear,3.633589774598363,0.005998126761387869
        Paramedical services (46),3.672144803290351,0.03270673687594719
      Musical instruments (part of 80),3.760189749941304,4.38947381136227e-4
"        Games, toys, and hobbies",3.7710048123701654,0.0070621374433080504
          Garbage and trash collection,3.859412521588368,0.0021018647830211732
            Cereals,3.8744729159909497,0.0038442740317651465
          Personal computers/tablets and peripheral equipment,3.878530596492922,0.005209433837788315
        Men's and boys' clothing (11),3.977340216547148,0.0077107091453255915
        Standard clothing issued to military personnel,4.006274675690918,2.099959952091179e-5
