group,sample,target,measure,rmse,best_lb,best_beta
4,long,c_0_37,Headline PCE,2.2253968018307724,17,19
4,long,c_0_37,Core PCE,1.4701098641573134,17,19
4,long,c_0_37,NY Fed UIG,0.7351851137996832,17,19
4,long,c_0_37,Median PCE,1.1836497551634546,17,19
4,long,c_0_37,Trimmed mean,1.1142932912708194,17,19
4,long,c_0_37,Best trim,1.0790021915603758,17,19
4,long,f_0_24,Headline PCE,2.432156251912721,14,16
4,long,f_0_24,Core PCE,1.9618956790160358,14,16
4,long,f_0_24,NY Fed UIG,1.4797559137178964,14,16
4,long,f_0_24,Median PCE,1.7090860151874996,14,16
4,long,f_0_24,Trimmed mean,1.666172149223518,14,16
4,long,f_0_24,Best trim,1.624338939504178,14,16
4,long,f_12_24,Headline PCE,2.9487829608398872,35,41
4,long,f_12_24,Core PCE,2.4457546480376915,35,41
4,long,f_12_24,NY Fed UIG,1.9942434712656265,35,41
4,long,f_12_24,Median PCE,2.1702350954982657,35,41
4,long,f_12_24,Trimmed mean,2.136112535805987,35,41
4,long,f_12_24,Best trim,2.1099453841504663,35,41
4,long,b_2_39,Headline PCE,2.077130611765968,11,12
4,long,b_2_39,Core PCE,1.496739973815398,11,12
4,long,b_2_39,NY Fed UIG,0.9036104245659469,11,12
4,long,b_2_39,Median PCE,1.3394626980660094,11,12
4,long,b_2_39,Trimmed mean,1.2690078800255875,11,12
4,long,b_2_39,Best trim,1.1467755920736127,11,12
4,80s,c_0_37,Headline PCE,2.286482263163691,18,16
4,80s,c_0_37,Core PCE,1.844902924189884,18,16
4,80s,c_0_37,NY Fed UIG,1.117225795955502,18,16
4,80s,c_0_37,Median PCE,1.5247388613008783,18,16
4,80s,c_0_37,Trimmed mean,1.6172773362683321,18,16
4,80s,c_0_37,Best trim,1.4576685579888633,18,16
4,80s,f_0_24,Headline PCE,2.738297994658558,13,13
4,80s,f_0_24,Core PCE,2.684702305349081,13,13
4,80s,f_0_24,NY Fed UIG,2.1885411254505955,13,13
4,80s,f_0_24,Median PCE,2.357856598843427,13,13
4,80s,f_0_24,Trimmed mean,2.3879549476925934,13,13
4,80s,f_0_24,Best trim,2.2783799248477834,13,13
4,80s,f_12_24,Headline PCE,3.4826286637575286,15,17
4,80s,f_12_24,Core PCE,3.349062697010171,15,17
4,80s,f_12_24,NY Fed UIG,2.823588402529889,15,17
4,80s,f_12_24,Median PCE,3.021264957967394,15,17
4,80s,f_12_24,Trimmed mean,3.0229014354879284,15,17
4,80s,f_12_24,Best trim,2.9167178506661604,15,17
4,80s,b_2_39,Headline PCE,1.9863602253597112,10,9
4,80s,b_2_39,Core PCE,1.7886491378207459,10,9
4,80s,b_2_39,NY Fed UIG,1.2142973067215879,10,9
4,80s,b_2_39,Median PCE,1.5683039277587993,10,9
4,80s,b_2_39,Trimmed mean,1.6578009214746958,10,9
4,80s,b_2_39,Best trim,1.3929271772700973,10,9
4,00s,c_0_37,Headline PCE,2.4995330680149292,18,23
4,00s,c_0_37,Core PCE,1.3360775542798389,18,23
4,00s,c_0_37,NY Fed UIG,0.5156938101475464,18,23
4,00s,c_0_37,Median PCE,1.0201117233748056,18,23
4,00s,c_0_37,Trimmed mean,0.8124988230565475,18,23
4,00s,c_0_37,Best trim,0.8030932914163623,18,23
4,00s,f_0_24,Headline PCE,2.548080929889748,16,19
4,00s,f_0_24,Core PCE,1.560398664054554,16,19
4,00s,f_0_24,NY Fed UIG,1.0310916564813066,16,19
4,00s,f_0_24,Median PCE,1.355624815632962,16,19
4,00s,f_0_24,Trimmed mean,1.2627562927462372,16,19
4,00s,f_0_24,Best trim,1.22433899208315,16,19
4,00s,f_12_24,Headline PCE,2.981157883391961,24,28
4,00s,f_12_24,Core PCE,1.9882414321716126,24,28
4,00s,f_12_24,NY Fed UIG,1.4895487090063964,24,28
4,00s,f_12_24,Median PCE,1.7053767075751747,24,28
4,00s,f_12_24,Trimmed mean,1.664722992320686,24,28
