group,sample,target,lb,beta,rmse
4,long,c_0_37,0,50,6.777188544760896
4,long,c_0_37,0,49,6.647918013089707
4,long,c_0_37,0,48,6.521651818772529
4,long,c_0_37,0,47,6.39868367132002
4,long,c_0_37,0,46,6.278773345483635
4,long,c_0_37,0,45,6.161831202733448
4,long,c_0_37,0,44,6.0476505443002635
4,long,c_0_37,0,43,5.93524610605219
4,long,c_0_37,0,42,5.825687728324117
4,long,c_0_37,0,41,5.718848676329881
4,long,c_0_37,0,40,5.613702773574852
4,long,c_0_37,0,39,5.511120264502874
4,long,c_0_37,0,38,5.410148132971059
4,long,c_0_37,0,37,5.310840029733726
4,long,c_0_37,0,36,5.2135552819722575
4,long,c_0_37,0,35,5.116766043716913
4,long,c_0_37,0,34,5.021939557737864
4,long,c_0_37,0,33,4.928288771759027
4,long,c_0_37,0,32,4.835746299894675
4,long,c_0_37,0,31,4.744515753427483
4,long,c_0_37,0,30,4.65461519232461
4,long,c_0_37,0,29,4.5655958020923775
4,long,c_0_37,0,28,4.477769262460452
4,long,c_0_37,0,27,4.390323988930154
4,long,c_0_37,0,26,4.302882501998248
4,long,c_0_37,0,25,4.216878079506116
4,long,c_0_37,0,24,4.131325224644072
4,long,c_0_37,0,23,4.046245481438066
4,long,c_0_37,0,22,3.9617121036390097
4,long,c_0_37,0,21,3.8773315068472765
4,long,c_0_37,0,20,3.79247445134059
4,long,c_0_37,0,19,3.7078480084486123
4,long,c_0_37,0,18,3.6229221390933453
4,long,c_0_37,0,17,3.5380253889065525
4,long,c_0_37,0,16,3.4526549813048235
4,long,c_0_37,0,15,3.3664010780239124
4,long,c_0_37,0,14,3.2798048489121285
4,long,c_0_37,0,13,3.191886163163295
4,long,c_0_37,0,12,3.103108960325758
4,long,c_0_37,0,11,3.012284690348257
4,long,c_0_37,0,10,2.9201615538784056
4,long,c_0_37,0,9,2.8258332480005555
4,long,c_0_37,0,8,2.7283426519699425
4,long,c_0_37,0,7,2.628865362328772
4,long,c_0_37,0,6,2.5268750907046296
4,long,c_0_37,0,5,2.424383779677412
4,long,c_0_37,0,4,2.322767586224334
4,long,c_0_37,0,3,2.2321736780268493
4,long,c_0_37,0,2,2.1680110110166715
4,long,c_0_37,0,1,2.1603311785504844
4,long,c_0_37,0,0,2.29513206815508
4,long,c_0_37,1,50,5.747665055256742
4,long,c_0_37,1,49,5.635234816696512
4,long,c_0_37,1,48,5.525191779757178
4,long,c_0_37,1,47,5.417919248521315
4,long,c_0_37,1,46,5.313197449374776
4,long,c_0_37,1,45,5.21104619263194
4,long,c_0_37,1,44,5.111238326847515
4,long,c_0_37,1,43,5.012857310317329
4,long,c_0_37,1,42,4.916888040515205
4,long,c_0_37,1,41,4.823228554508883
4,long,c_0_37,1,40,4.730963524818634
4,long,c_0_37,1,39,4.640812059626218
4,long,c_0_37,1,38,4.552105955018022
4,long,c_0_37,1,37,4.464679783189531
4,long,c_0_37,1,36,4.378891392795087
4,long,c_0_37,1,35,4.293483626856078
4,long,c_0_37,1,34,4.209689430143838
4,long,c_0_37,1,33,4.126710343767353
4,long,c_0_37,1,32,4.044759632365004
4,long,c_0_37,1,31,3.9638621153723435
4,long,c_0_37,1,30,3.884096469456687
4,long,c_0_37,1,29,3.8049847632356926
4,long,c_0_37,1,28,3.7268678403577917
4,long,c_0_37,1,27,3.648906555445464
4,long,c_0_37,1,26,3.5709293374391855
4,long,c_0_37,1,25,3.4941054776663827
4,long,c_0_37,1,24,3.4176719200244117
4,long,c_0_37,1,23,3.341568141609065
4,long,c_0_37,1,22,3.2659086842117233
4,long,c_0_37,1,21,3.1903575515295586
4,long,c_0_37,1,20,3.1142333448168387
4,long,c_0_37,1,19,3.038282535244092
4,long,c_0_37,1,18,2.962036614211956
4,long,c_0_37,1,17,2.8858467459091837
4,long,c_0_37,1,16,2.809340249245346
4,long,c_0_37,1,15,2.732274257932897
4,long,c_0_37,1,14,2.6548782111406775
4,long,c_0_37,1,13,2.576612029039757
4,long,c_0_37,1,12,2.49780567291057
4,long,c_0_37,1,11,2.417732925880143
4,long,c_0_37,1,10,2.337158984524461
4,long,c_0_37,1,9,2.2555147429617373
4,long,c_0_37,1,8,2.1724444785331882
4,long,c_0_37,1,7,2.0902702853392268
4,long,c_0_37,1,6,2.009266193686239
4,long,c_0_37,1,5,1.9344675223786947
4,long,c_0_37,1,4,1.8714125712544685
4,long,c_0_37,1,3,1.835294931929506
4,long,c_0_37,1,2,1.853272755065923
4,long,c_0_37,1,1,1.9600550982428933
4,long,c_0_37,1,0,2.277201853440786
4,long,c_0_37,2,50,5.081604719267338
4,long,c_0_37,2,49,4.979765265580061
4,long,c_0_37,2,48,4.880023437958051
4,long,c_0_37,2,47,4.782708753588206
4,long,c_0_37,2,46,4.687623911164008
4,long,c_0_37,2,45,4.594820664580065
4,long,c_0_37,2,44,4.5040337298373245
4,long,c_0_37,2,43,4.41449760844068
4,long,c_0_37,2,42,4.32706735880052
4,long,c_0_37,2,41,4.2416899524412806
4,long,c_0_37,2,40,4.157502232093783
4,long,c_0_37,2,39,4.075164689179247
4,long,c_0_37,2,38,3.994081704706938
4,long,c_0_37,2,37,3.9140648777916036
4,long,c_0_37,2,36,3.8354311424376166
4,long,c_0_37,2,35,3.7570951411907325
4,long,c_0_37,2,34,3.680124643039246
4,long,c_0_37,2,33,3.6038419097772105
4,long,c_0_37,2,32,3.528385165885753
4,long,c_0_37,2,31,3.4538691212219566
4,long,c_0_37,2,30,3.3803399521324478
4,long,c_0_37,2,29,3.3073028819584382
4,long,c_0_37,2,28,3.235143356454536
4,long,c_0_37,2,27,3.163001031723912
