date,measure,value
1960-01-01,Headline PCE,1.6948034819308901
1960-01-01,Core PCE,2.0708341397329235
1960-02-01,Headline PCE,1.6997167138810028
1960-02-01,Core PCE,2.1852639721523985
1960-02-01,Cleveland median,0.7413407132657
1960-02-01,Dallas trimmed mean,1.1533450522366309
1960-03-01,Headline PCE,1.6920139574692286
1960-03-01,Core PCE,2.0732728092202706
1960-03-01,Cleveland median,0.7324073674544849
1960-03-01,Dallas trimmed mean,1.1590950691697088
1960-04-01,Headline PCE,1.8595177081279957
1960-04-01,Core PCE,2.0038535645471995
1960-04-01,Cleveland median,0.7324073674544849
1960-04-01,Dallas trimmed mean,1.1238521161237855
1960-05-01,Headline PCE,1.9110790044000794
1960-05-01,Core PCE,2.0463147090897422
1960-05-01,Cleveland median,0.702995453276543
1960-05-01,Dallas trimmed mean,1.0716888537543952
1960-06-01,Headline PCE,1.6632833475214426
1960-06-01,Core PCE,1.8036456667732637
1960-06-01,Cleveland median,0.6892561488002826
1960-06-01,Dallas trimmed mean,1.031241134182693
1960-07-01,Headline PCE,1.6336666013200016
1960-07-01,Core PCE,1.741960183767219
1960-07-01,Cleveland median,0.44337862600454514
1960-07-01,Dallas trimmed mean,0.86474670850167
1960-08-01,Headline PCE,1.6574225122349304
1960-08-01,Core PCE,1.7264445435433657
1960-08-01,Cleveland median,0.6043471716734103
1960-08-01,Dallas trimmed mean,0.8956161356422854
1960-09-01,Headline PCE,1.4513504718516117
1960-09-01,Core PCE,1.5440335493709654
1960-09-01,Cleveland median,0.611439976747576
1960-09-01,Dallas trimmed mean,0.875050922027043
1960-10-01,Headline PCE,1.3245033112582831
1960-10-01,Core PCE,1.4272121788772694
1960-10-01,Cleveland median,0.4345037699669234
1960-10-01,Dallas trimmed mean,0.7927173838575783
1960-11-01,Headline PCE,1.602647287827665
1960-11-01,Core PCE,1.5132328732430125
1960-11-01,Cleveland median,0.42293337450021795
1960-11-01,Dallas trimmed mean,0.704028959520457
1960-12-01,Headline PCE,1.5035644847699388
1960-12-01,Core PCE,1.327601466683518
1960-12-01,Cleveland median,0.45223112808608334
1960-12-01,Dallas trimmed mean,0.7793773428695516
1961-01-01,Headline PCE,1.5822579599247746
1961-01-01,Core PCE,1.3272658323852937
1961-01-01,Cleveland median,0.45632502125150154
1961-01-01,Dallas trimmed mean,0.7487823145559958
1961-02-01,Headline PCE,1.5676621105137087
1961-02-01,Core PCE,1.2364370426444395
1961-02-01,Cleveland median,0.45632502125150154
1961-02-01,Dallas trimmed mean,0.7314328203227802
1961-03-01,Headline PCE,1.450213647546292
1961-03-01,Core PCE,1.2615908660821304
1961-03-01,Cleveland median,0.45632502125150154
1961-03-01,Dallas trimmed mean,0.6949377132143866
1961-04-01,Headline PCE,1.025674106566882
1961-04-01,Core PCE,1.2152121899005124
1961-04-01,Cleveland median,0.45632502125150154
1961-04-01,Dallas trimmed mean,0.6732187025134948
1961-05-01,Headline PCE,0.9795076685139747
1961-05-01,Core PCE,1.1817953231078775
1961-05-01,Cleveland median,0.234668484950447
1961-05-01,Dallas trimmed mean,0.5621987653378682
1961-06-01,Headline PCE,0.9790660225442736
1961-06-01,Core PCE,1.2753659609222865
1961-06-01,Cleveland median,0.234668484950447
1961-06-01,Dallas trimmed mean,0.5296588841781045
1961-07-01,Headline PCE,1.0158811804796386
1961-07-01,Core PCE,1.2543116964565542
1961-07-01,Cleveland median,0.234668484950447
1961-07-01,Dallas trimmed mean,0.5439530328789317
1961-08-01,Headline PCE,0.9307400988510182
1961-08-01,Core PCE,1.2149298597194331
1961-08-01,Cleveland median,0.06805565679799486
1961-08-01,Dallas trimmed mean,0.49252367907783423
1961-09-01,Headline PCE,0.9879394405953406
