date,measure,horizon,value
1959-02-01,Headline PCE,1m,1.1935012481337104
1959-03-01,Headline PCE,1m,0.7934367713414714
1959-04-01,Headline PCE,1m,2.3960536357569895
1959-05-01,Headline PCE,1m,0.6326173513098388
1959-06-01,Headline PCE,1m,3.5231678210162043
1959-07-01,Headline PCE,1m,2.5437541900702687
1959-08-01,Headline PCE,1m,1.7388581940533943
1959-09-01,Headline PCE,1m,3.177494334424824
1959-10-01,Headline PCE,1m,2.9282653214264265
1959-11-01,Headline PCE,1m,0.7819078336338103
1959-12-01,Headline PCE,1m,1.4105431227972698
1960-01-01,Headline PCE,1m,-0.6976941336512388
1960-02-01,Headline PCE,1m,1.2521849876063973
1960-03-01,Headline PCE,1m,0.7018655484214653
1960-04-01,Headline PCE,1m,4.438451657577169
1960-05-01,Headline PCE,1m,1.245604969649805
1960-06-01,Headline PCE,1m,0.5426518676649783
1960-07-01,Headline PCE,1m,2.1858490527820296
1960-08-01,Headline PCE,1m,2.024591320361946
1960-09-01,Headline PCE,1m,0.695447820189643
1960-10-01,Headline PCE,1m,1.3945157719695178
1960-11-01,Headline PCE,1m,4.152346391154782
1960-12-01,Headline PCE,1m,0.23014213993206578
1961-01-01,Headline PCE,1m,0.23009801057740642
1961-02-01,Headline PCE,1m,1.0777418129154226
1961-03-01,Headline PCE,1m,-0.686648931275391
1961-04-01,Headline PCE,1m,-0.6870420603104277
1961-05-01,Headline PCE,1m,0.6917949828134207
1961-06-01,Headline PCE,1m,0.5373751706543306
1961-07-01,Headline PCE,1m,2.6338081444088557
1961-08-01,Headline PCE,1m,0.9974661717281563
1961-09-01,Headline PCE,1m,1.3823782883010338
1961-10-01,Headline PCE,1m,-0.07620256817361115
1961-11-01,Headline PCE,1m,0.0762606807710231
1961-12-01,Headline PCE,1m,0.30534327621889457
1962-01-01,Headline PCE,1m,2.3104054832941534
1962-02-01,Headline PCE,1m,3.241922551222176
1962-03-01,Headline PCE,1m,1.6048060619339166
1962-04-01,Headline PCE,1m,1.372278632588264
1962-05-01,Headline PCE,1m,0.759393934246444
1962-06-01,Headline PCE,1m,0.7589136744853509
1962-07-01,Headline PCE,1m,-0.6781125019409306
1962-08-01,Headline PCE,1m,1.7532829766601532
1962-09-01,Headline PCE,1m,6.0517694077002915
1962-10-01,Headline PCE,1m,-1.1957259424789757
1962-11-01,Headline PCE,1m,0.8305757403883174
