date,year,month,official median PCE ,schoenle-smith median,official trimmed mean,schoenle-smith trimmed mean
1960m1,1960,1,,1.30,,1.84
1960m2,1960,2,,1.31,,1.88
1960m3,1960,3,,1.31,,1.81
1960m4,1960,4,,1.40,,1.66
1960m5,1960,5,,1.40,,1.75
1960m6,1960,6,,1.14,,1.69
1960m7,1960,7,,1.09,,1.75
1960m8,1960,8,,1.10,,1.63
1960m9,1960,9,,0.87,,1.54
1960m10,1960,10,,0.63,,1.31
1960m11,1960,11,,0.75,,1.48
1960m12,1960,12,,0.66,,1.26
1961m1,1961,1,,0.66,,1.30
1961m2,1961,2,,0.65,,1.34
1961m3,1961,3,,0.65,,1.13
1961m4,1961,4,,0.36,,1.15
1961m5,1961,5,,0.36,,1.00
1961m6,1961,6,,0.36,,0.98
1961m7,1961,7,,0.19,,0.81
1961m8,1961,8,,0.18,,0.78
1961m9,1961,9,,0.18,,0.83
1961m10,1961,10,,0.17,,0.72
1961m11,1961,11,,0.06,,0.60
1961m12,1961,12,,0.06,,0.53
1962m1,1962,1,,0.28,,0.73
1962m2,1962,2,,0.37,,0.75
1962m3,1962,3,,0.57,,0.88
1962m4,1962,4,,0.55,,0.87
1962m5,1962,5,,0.58,,1.01
1962m6,1962,6,,0.58,,0.96
1962m7,1962,7,,0.58,,0.88
1962m8,1962,8,,0.58,,1.00
1962m9,1962,9,,0.67,,1.18
1962m10,1962,10,,0.67,,1.20
1962m11,1962,11,,0.65,,1.12
1962m12,1962,12,,0.65,,1.26
1963m1,1963,1,,0.69,,1.30
1963m2,1963,2,,0.61,,1.13
1963m3,1963,3,,0.41,,1.04
1963m4,1963,4,,0.41,,1.05
1963m5,1963,5,,0.52,,1.01
1963m6,1963,6,,0.53,,1.06
1963m7,1963,7,,0.56,,1.28
1963m8,1963,8,,0.56,,1.32
1963m9,1963,9,,0.47,,1.05
1963m10,1963,10,,0.69,,1.30
1963m11,1963,11,,0.70,,1.30
1963m12,1963,12,,0.71,,1.42
1964m1,1964,1,,0.54,,1.21
1964m2,1964,2,,0.62,,1.21
1964m3,1964,3,,0.62,,1.22
1964m4,1964,4,,0.63,,1.21
1964m5,1964,5,,0.49,,1.12
1964m6,1964,6,,0.48,,1.09
1964m7,1964,7,,0.45,,1.01
1964m8,1964,8,,0.44,,1.06
1964m9,1964,9,,0.43,,0.96
1964m10,1964,10,,0.22,,0.82
1964m11,1964,11,,0.24,,0.80
1964m12,1964,12,,0.23,,0.76
1965m1,1965,1,,0.33,,1.03
1965m2,1965,2,,0.24,,1.01
1965m3,1965,3,,0.24,,1.21
1965m4,1965,4,,0.43,,1.19
1965m5,1965,5,,0.56,,1.29
1965m6,1965,6,,0.73,,1.42
1965m7,1965,7,,0.73,,1.44
1965m8,1965,8,,0.88,,1.48
1965m9,1965,9,,1.07,,1.39
1965m10,1965,10,,1.21,,1.50
1965m11,1965,11,,1.39,,1.52
1965m12,1965,12,,1.65,,1.56
1966m1,1966,1,,1.53,,1.58
1966m2,1966,2,,1.73,,1.72
1966m3,1966,3,,1.73,,1.66
1966m4,1966,4,,1.92,,1.88
1966m5,1966,5,,1.98,,1.95
1966m6,1966,6,,2.01,,2.05
1966m7,1966,7,,2.30,,2.14
1966m8,1966,8,,2.37,,2.23
1966m9,1966,9,,2.51,,2.56
1966m10,1966,10,,2.74,,2.75
1966m11,1966,11,,2.74,,2.68
1966m12,1966,12,,2.71,,2.75
1967m1,1967,1,,2.66,,2.74
1967m2,1967,2,,2.68,,2.83
1967m3,1967,3,,2.74,,2.79
1967m4,1967,4,,2.56,,2.63
1967m5,1967,5,,2.59,,2.55
1967m6,1967,6,,2.62,,2.56
1967m7,1967,7,,2.59,,2.62
1967m8,1967,8,,2.54,,2.47
1967m9,1967,9,,2.54,,2.54
1967m10,1967,10,,2.48,,2.41
1967m11,1967,11,,2.49,,2.52
1967m12,1967,12,,2.58,,2.50
1968m1,1968,1,,2.94,,3.00
1968m2,1968,2,,3.10,,3.24
1968m3,1968,3,,3.37,,3.44
